,brand,model,model_target_ratings
635,娇源,M6-2,"{'功能': {'伤疤': 0.0, '去斑': 0.0, '痘印': 28.87, '雀斑': 0.0, '黑痣': 0.0, '效果显著': 0.0}, '服务': {'包装': 57.58, '包裹': 60.87, '卖家': 47.31, '实话': 0.0, '客服': 53.92, '态度': 60.12, '说明书': 29.57, '售后服务': 39.99, '有问必答': 37.51}, '款式': {'按键': 28.87, '激光': 58.23, '电流': 28.02, '面积': 53.06, '颜色': 30.04, '高大上': 0.0}, '质量': {'做工': 38.99, '功率': 25.69, '材质': 39.99, '设备': 37.51, '质感': 35.56, '质量': 57.44, '针头': 21.77, '疼痛感': 0.0, '生产日期': 0.0}}"
636,娇源,S1,"{'功能': {'毒素': 32.7, '水嫩': 31.87, '水雾': 28.87, '污垢': 63.26, '洁面': 45.4, '滑嫩': 0.0, '痘印': 28.87, '眼袋': 28.87, '紧致': 19.66, '补水': 37.51, '去黑头': 25.85, '清洁度': 37.51, '渗透性': 42.07, '白嫩嫩': 0.0, '脂肪粒': 24.63, '黑眼圈': 25.69, '毛孔粗大': 47.96}, '服务': {'包装': 58.86, '卖家': 51.88, '客服': 59.83, '态度': 61.67, '邮政': 0.0, '说明书': 16.74, '售后服务': 34.96}, '款式': {'便携': 21.77, '大气': 33.8, '时尚': 37.51, '档位': 50.0, '触感': 0.0, '颜色': 24.6, '充电式': 0.0}, '质量': {'做工': 31.1, '刺痛': 47.96, '功率': 37.51, '声音': 53.0, '底座': 32.7, '插座': 0.0, '材质': 39.99, '质感': 35.56, '质量': 66.19, '震动力': 18.58}}"
637,娇源,S1-2,"{'功能': {'上妆': 27.53, '保湿': 37.51, '水嫩': 25.69, '水雾': 28.87, '污垢': 49.63, '洁面': 37.51, '痘印': 24.02, '粉刺': 18.58, '紧致': 30.31, '补水': 32.7, '贴合': 0.0, '去黑头': 30.16, '清洁度': 43.86, '渗透性': 32.7, '白嫩嫩': 0.0, '毛孔粗大': 47.96, '省时省力': 0.0}, '服务': {'包装': 59.73, '包裹': 37.51, '卖家': 44.53, '客服': 35.07, '态度': 57.64, '快递员': 0.0, '有问必答': 47.96}, '款式': {'体积': 45.4, '大气': 41.07, '档位': 37.51, '白色': 32.7, '颜色': 21.31, '充电式': 0.0}, '质量': {'做工': 40.41, '声音': 53.0, '底座': 42.07, '材质': 34.96, '质感': 31.53, '质量': 67.22, '重量': 58.23, '最高档': 0.0}}"
638,尚赫,456,"{'功能': {'斑点': 47.96, '紧致': 19.66, '雾化': 37.51}, '服务': {'态度': 11.47}, '质量': {'声音': 49.51, '穿透性': 40.43}}"
639,尚赫,991,"{'功能': {'渗透性': 32.7}, '服务': {'包装': 12.8, '卖家': 26.83, '客服': 18.46, '态度': 19.31}, '质量': {'声音': 53.0, '质量': 17.53, '穿透性': 40.43}}"
640,尚赫,KC-7688,"{'服务': {'卖家': 15.64}, '质量': {'质量': 14.18, '电流声': 0.0}}"
641,尚赫,OMZY001,"{'功能': {'上妆': 27.53, '保湿': 37.51, '去斑': 0.0, '水嫩': 22.28, '水润': 0.0, '痘印': 28.87, '眼袋': 45.4, '祛皱': 25.69, '紧致': 27.26, '补水': 46.5, '赘肉': 0.0, '去黑头': 27.37, '渗透性': 50.87, '黑眼圈': 41.07, '效果显著': 0.0}, '服务': {'包装': 51.81, '包裹': 45.4, '卖家': 45.47, '客服': 39.42, '态度': 57.64, '说明书': 29.57, '售后服务': 34.96}, '款式': {'双头': 0.0, '支架': 0.0}, '质量': {'做工': 32.82, '功率': 25.69, '吸力': 13.74, '质感': 31.53, '质量': 64.2, '面料': 0.0, '穿透性': 76.26}}"
642,尚赫,OMZY201,"{'服务': {'客服': 18.46, '售后服务': 29.57}}"
643,尚赫,SH-JAN-B,"{'功能': {'水嫩': 18.58}, '服务': {'包装': 15.28, '卖家': 15.64, '态度': 14.52}, '质量': {'质量': 12.89, '升级版': 0.0}}"
644,尚赫,SUNHOPE2017,"{'服务': {'包装': 14.09, '卖家': 15.64, '客服': 18.46}, '质量': {'瑕疵': 37.51}}"
645,尚赫,TBS,"{'服务': {'包装': 21.92, '卖家': 20.11, '客服': 18.46, '态度': 22.24}, '质量': {'质量': 15.37, '穿透性': 40.43}}"
646,尚赫,能量罐,"{'服务': {'态度': 11.47}, '款式': {'黑色': 53.06}, '质量': {'做工': 27.34, '瑕疵': 58.23}}"
647,尚赫,超声波美容仪,"{'功能': {'水嫩': 25.69, '水雾': 28.87, '紧致': 33.07, '细纹': 24.02, '雾化': 37.51, '法令纹': 22.73, '渗透性': 59.73, '效果显著': 0.0}, '服务': {'包装': 55.48, '包裹': 18.58, '卖家': 23.73, '客服': 33.91, '态度': 44.48, '售后服务': 29.57, '服务到位': 0.0}, '款式': {'双头': 0.0, '大气': 33.8, '时尚': 37.51, '气泡': 0.0}, '质量': {'做工': 40.41, '功率': 25.69, '声音': 54.76, '材质': 34.96, '质量': 59.16, '配件': 34.48, '安全性': 0.0, '穿透性': 51.67}}"
648,尼芙邦,FC-1,"{'功能': {'水嫩': 22.28, '祛皱': 39.66, '紧致': 27.26, '细纹': 24.02, '补水': 37.51, '法令纹': 13.48}, '服务': {'包装': 31.05, '包裹': 37.51, '卖家': 25.33, '客服': 30.16, '态度': 29.21, '说明书': 29.57}, '款式': {'便携': 21.77, '颜色': 21.31}, '质量': {'做工': 29.28, '质量': 32.8, '配件': 34.48, '充电器': 0.0}}"
649,尼芙邦,FC-2,"{'功能': {'上妆': 27.53, '水嫩': 25.69, '污垢': 40.08, '洁面': 28.87, '眼袋': 28.87, '粉刺': 25.69, '紧致': 23.79, '黑眼圈': 41.07, '无副作用': 0.0}, '服务': {'包装': 33.7, '包裹': 53.06, '卖家': 25.33, '客服': 31.46, '态度': 32.4, '说明书': 34.96}, '款式': {'便携': 32.7, '按键': 45.4, '电流': 28.02, '黑色': 42.82, '充电式': 0.0}, '质量': {'做工': 29.28, '材质': 34.96, '质感': 31.53, '质量': 40.85, '震动力': 37.51}}"
650,尼芙邦,N1,"{'功能': {'上妆': 27.53, '水嫩': 18.58, '痘印': 28.87, '祛皱': 56.14, '紧致': 30.31, '细纹': 64.98, '光泽度': 37.51, '抬头纹': 56.14, '法令纹': 52.58, '鱼尾纹': 0.0}, '服务': {'包装': 27.54, '卖家': 15.64, '客服': 28.8, '态度': 31.79, '售后服务': 29.57, '有问必答': 37.51}, '款式': {'颜色': 27.46}, '质量': {'做工': 31.1, '声音': 53.0, '质量': 24.3, '气色好': 0.0, '恢复能力': 0.0}}"
651,希楠,XN-8060,"{'功能': {'去黑头': 27.37}, '服务': {'包装': 14.09, '卖家': 12.87, '态度': 14.52}, '款式': {}, '质量': {'做工': 27.34, '声音': 46.02, '质量': 14.18}}"
652,弘云,X05,"{'功能': {'污垢': 33.59, '粉刺': 37.51, '螨虫': 0.0, '贴合': 0.0, '光泽度': 37.51, '去黑头': 54.88, '脂肪粒': 33.49}, '服务': {'包装': 56.31, '包裹': 37.51, '卖家': 59.41, '客服': 36.2, '态度': 55.71, '说明书': 29.57, '售后服务': 23.62}, '款式': {'三档': 54.77, '体积': 45.4, '吸头': 59.73, '大气': 41.07, '机身': 34.48, '档位': 37.51, '白色': 46.5, '红色': 58.23, '面积': 28.87, '颜色': 36.69, '黄色': 0.0, '充电式': 0.0, '小气泡': 40.43, '方便使用': 0.0}, '质量': {'假货': 47.96, '做工': 49.72, '力道': 42.07, '功率': 31.87, '动力': 56.14, '吸力': 79.0, '声音': 60.25, '开关': 50.87, '质量': 57.01, '配件': 51.67, '颗粒': 0.0, '副作用': 0.0}}"
653,意尚英姿,ETC-X20,"{'功能': {'污垢': 61.15, '瘦脸': 42.07, '粉刺': 47.96, '螨虫': 0.0, '补水': 32.7, '起皮': 0.0, '去角质': 0.0, '去黑头': 73.05, '实用性': 50.87, '汗毛孔': 0.0, '脂肪粒': 41.35, '效果显著': 0.0}, '服务': {'信誉': 25.69, '包装': 66.8, '卖家': 52.8, '发货': 0.0, '客服': 39.42, '态度': 57.64, '快递员': 0.0}, '款式': {'体积': 45.4, '可调': 0.0, '吸头': 42.07, '圆头': 0.0, '档位': 56.14, '白色': 55.26, '硅胶': 0.0, '蒸汽': 0.0, '触感': 0.0, '颜色': 12.29, '三件套': 0.0, '三部曲': 0.0}, '质量': {'做工': 40.41, '力道': 50.87, '功率': 18.58, '动力': 37.51, '变粗': 0.0, '吸力': 74.61, '声音': 30.04, '强度': 45.4, '质感': 31.53, '质量': 51.63, '配件': 34.48, '重量': 58.23}}"
654,抹印,FC-15,"{'功能': {'污垢': 28.52, '粉刺': 37.51, '起皮': 0.0, '去黑头': 36.2, '脂肪粒': 30.69}, '服务': {'包装': 17.44, '卖家': 15.64, '客服': 24.23, '态度': 23.98}, '款式': {'档位': 43.86, '颜色': 24.6}, '质量': {'做工': 22.9, '功率': 31.87, '动力': 43.86, '吸力': 46.59, '声音': 49.51, '质感': 31.53, '质量': 27.66}}"
655,曙兴,SX-108A升级版,"{'功能': {'上妆': 27.53, '污垢': 44.0, '滑嫩': 0.0, '郊果': 0.0, '去黑头': 61.92, '脂肪粒': 30.69}, '服务': {'包装': 43.25, '包裹': 37.51, '卖家': 32.1, '客服': 38.37, '态度': 44.95, '说明书': 34.96, '售后服务': 29.57}, '款式': {'体积': 45.4, '吸头': 15.08, '白色': 32.7, '面积': 45.4, '颜色': 27.46, '鼻膜': 0.0, '小气泡': 28.02}, '质量': {'做工': 34.46, '力道': 50.87, '动力': 37.51, '吸力': 52.88, '声音': 60.25, '强度': 45.4, '淤青': 0.0, '质感': 31.53, '质量': 45.93, '充电器': 0.0, '质量上乘': 0.0}}"
656,曙兴,SX-188A,"{'功能': {'上妆': 27.53, '提拉': 29.57, '污垢': 47.77, '滑嫩': 0.0, '粉刺': 47.96, '螨虫': 0.0, '郊果': 0.0, '去角质': 0.0, '去黑头': 68.9, '脂肪粒': 48.78, '毛孔粗大': 47.96}, '服务': {'信誉': 37.51, '包装': 57.15, '卖家': 48.23, '口碑': 0.0, '客服': 45.39, '态度': 60.63}, '款式': {'可调': 0.0, '吸头': 21.77, '圆头': 0.0, '机身': 28.02, '颜色': 21.31, '三件套': 0.0, '三部曲': 0.0, '小气泡': 51.67, '高大上': 0.0}, '质量': {'做工': 44.49, '吸力': 64.72, '声音': 54.76, '材质': 39.99, '质量': 62.31, '配件': 40.43, '使用寿命': 0.0}}"
657,木薯,MS1709,"{'功能': {}, '服务': {'包装': 12.8, '客服': 18.46}, '款式': {}}"
658,木薯,ULTRASOUND,"{'功能': {'去黑头': 30.16}, '服务': {'包装': 12.8}, '款式': {}, '质量': {'盖子': 0.0, '质量': 12.89}}"
659,朴银妃,Y4311,"{'功能': {'伤疤': 0.0, '色斑': 0.0}, '服务': {'包装': 29.93, '卖家': 40.7, '发货': 0.0, '客服': 39.42, '态度': 42.55, '售后服务': 34.96}, '款式': {'三档': 47.96, '档位': 43.86, '红色': 47.96, '面积': 45.4, '颜色': 21.31}, '质量': {'做工': 27.34, '功率': 83.01, '火力': 0.0, '质量': 38.17, '配件': 40.43, '刺激性': 0.0}}"
660,朴银妃,手持式液晶,
661,松俊,DS-039,"{'功能': {}, '服务': {'卖家': 15.64}, '质量': {'声音': 49.51, '质量': 12.89}}"
662,松俊,SJ-801,"{'功能': {'洁面': 28.87, '滑嫩': 0.0, '紧致': 19.66, '光泽度': 37.51, '去黑头': 20.57, '清洁度': 30.69}, '服务': {'信誉': 58.23, '包装': 37.1, '卖家': 52.8, '客服': 39.42, '态度': 49.63, '售后服务': 29.57}, '款式': {'体积': 45.4, '大气': 33.8, '白色': 32.7, '粉色': 35.3, '绿色': 0.0, '转速': 0.0, '颜色': 38.67, '充电式': 0.0, '粉红色': 37.51}, '质量': {'做工': 32.82, '刷毛': 80.76, '功率': 31.87, '动力': 37.51, '声音': 53.0, '底座': 59.73, '接口': 47.96, '毛质': 0.0, '质感': 31.53, '质量': 48.79, '配件': 34.48, '稳定性': 0.0, '电池容量': 0.0}}"
663,松俊,WY-108,"{'功能': {'污垢': 28.52, '粉刺': 37.51, '去黑头': 37.3}, '服务': {'包装': 31.6, '卖家': 15.64, '态度': 22.24}, '款式': {'按键': 45.4, '颜色': 27.46}, '质量': {'做工': 27.34, '力道': 59.73, '功率': 18.58, '吸力': 48.95, '声音': 60.25, '接口': 47.96, '材质': 34.96, '瑕疵': 58.23, '质量': 35.82, '配件': 34.48}}"
664,梦玉康,光谱仪,"{'服务': {'包装': 15.28, '卖家': 15.64, '态度': 15.85}, '质量': {'声音': 49.51, '质量': 15.37, '气色好': 0.0}}"
665,梦玉康,小气泡推车,"{'服务': {'态度': 13.07}, '质量': {'质量': 11.48}}"
666,梦玉康,超微小气泡,"{'功能': {'冰锤': 0.0, '发烫': 0.0, '毒素': 32.7, '水嫩': 31.87, '污垢': 28.52, '紧致': 19.66, '通透': 37.51, '去黑头': 30.16, '黑眼圈': 41.07}, '服务': {'包装': 29.35, '卖家': 46.39, '客服': 60.87, '态度': 50.09, '证件': 0.0, '快递员': 0.0, '售后服务': 54.24, '有问必答': 69.31}, '款式': {'体积': 37.51, '吸头': 32.7, '按键': 28.87, '瓶子': 0.0, '小气泡': 76.26, '超声波': 41.07}, '质量': {'做工': 29.28, '吸力': 48.16, '声音': 53.0, '底座': 59.73, '材质': 34.96, '盖子': 0.0, '设备': 37.51, '质量': 40.42}}"
667,梦玉康,钒钛水光,"{'功能': {'水嫩': 18.58}, '服务': {'包装': 12.8, '卖家': 15.64, '客服': 18.46}, '质量': {'质量': 12.89}}"
668,梦玉康,雷达线雕美容仪,"{'功能': {}, '服务': {'态度': 11.47}, '质量': {'气色好': 0.0}}"
669,海岳,HY-17036,"{'功能': {'水嫩': 18.58}, '服务': {'包装': 21.1, '包裹': 37.51, '客服': 16.06, '态度': 20.34, '说明书': 29.57}, '款式': {'红光': 35.3, '蓝光': 28.02, '颜色': 21.31, '黄色': 0.0}, '质量': {'声音': 51.25, '设备': 47.96, '质感': 31.53, '质量': 17.53, '配件': 34.48}}"
670,海岳,HY-17MJ,"{'服务': {'包裹': 37.51, '客服': 18.46, '态度': 17.08}, '款式': {}, '质量': {'做工': 27.34, '接口': 37.51, '质量': 12.89}}"
671,海岳,HY-6012003T,"{'服务': {'包装': 14.09, '卖家': 22.0, '发票': 0.0, '客服': 20.57, '态度': 17.08}, '款式': {'激光': 47.96}, '质量': {'功率': 42.82, '质量': 12.89}}"
672,海岳,MX-1803A,"{'功能': {'污垢': 28.52, '去黑头': 31.46, '脂肪粒': 30.69, '毛孔堵塞': 0.0}, '服务': {'包装': 35.19, '卖家': 25.33, '客服': 20.57, '态度': 31.79, '售后服务': 29.57}, '款式': {'吸头': 32.7, '时尚': 37.51, '档位': 43.86, '粉色': 30.69, '颜色': 34.61, '三件套': 0.0, '小气泡': 46.1}, '质量': {'做工': 34.46, '变粗': 0.0, '吸力': 47.38, '材质': 39.99, '质量': 34.34, '配件': 40.43}}"
673,海岳,NV-WO2,"{'功能': {}, '服务': {'客服': 18.46}, '款式': {}, '质量': {'吸力': 13.74}}"
674,淘美,TM-2688,"{'功能': {'屏幕': 47.96, '水嫩': 18.58, '污垢': 63.26, '粉刺': 25.69, '去黑头': 30.16, '脂肪粒': 33.49}, '服务': {'包装': 26.26, '卖家': 35.54, '客服': 42.46, '态度': 40.58, '售后服务': 29.57, '热情周到': 0.0}, '款式': {'可调': 0.0, '吸头': 27.53, '容量': 0.0, '档位': 43.86, '水箱': 0.0, '蒸汽': 0.0, '触感': 0.0, '颜色': 24.6}, '质量': {'做工': 22.9, '动力': 30.69, '吸力': 51.3, '声音': 49.51, '淤青': 0.0, '质量': 36.3, '配件': 20.64}}"
675,淘美,TM-6930,"{'功能': {}, '服务': {'客服': 18.46, '态度': 11.47}, '款式': {}, '质量': {'吸力': 11.06, '质量': 12.89}}"
676,白蒂诗,BDS,"{'服务': {'包装': 12.8}, '质量': {'做工': 27.34}}"
677,淘美,TM3688,"{'功能': {'水嫩': 22.28, '水润': 0.0, '补水': 27.53, '雾化': 37.51, '实用性': 50.87, '黑眼圈': 25.69}, '服务': {'包装': 43.67, '包裹': 18.58, '卖家': 36.62, '客服': 30.16, '态度': 40.58, '说明书': 29.57}, '款式': {'便携': 27.53, '智能': 0.0, '粉色': 30.69, '颜色': 30.04, '胶原蛋白': 0.0}, '质量': {'做工': 22.9, '含量': 0.0, '外壳': 0.0, '盖子': 0.0, '质感': 22.49, '质量': 39.08, '灵敏度': 47.96}}"
678,白蒂诗,手持式,
679,璐瑶,LY-9107A,"{'功能': {'上妆': 27.53, '水雾': 28.87, '粉刺': 25.69, '补水': 32.7, '郊果': 0.0, '去黑头': 49.19, '脂肪粒': 33.49}, '服务': {'包装': 26.91, '卖家': 22.0, '客服': 30.16, '态度': 34.75}, '款式': {'便携': 21.77, '吸头': 27.53, '圆头': 0.0, '档位': 43.86, '颜色': 21.31, '三件套': 0.0, '小气泡': 28.02}, '质量': {'做工': 29.28, '动力': 30.69, '吸力': 30.55, '声音': 51.25, '质量': 30.06, '配件': 34.48}}"
680,璐瑶,LY-9112,"{'功能': {'上妆': 27.53, '污垢': 28.52, '去黑头': 31.46, '清洁度': 56.14}, '服务': {'包装': 21.1, '卖家': 18.01, '客服': 22.48, '态度': 19.31}, '款式': {'硅胶': 0.0, '颜色': 27.46, '小气泡': 40.43}, '质量': {'做工': 27.34, '吸力': 25.81, '塑料': 0.0, '声音': 53.0, '质量': 24.3, '配件': 34.48}}"
681,白蒂诗,Y6987,"{'服务': {'态度': 13.07}, '质量': {'质量': 12.89}}"
682,碧橙,LW-030,"{'服务': {'包装': 14.09, '卖家': 15.64, '客服': 20.57, '态度': 11.47}, '质量': {'质感': 31.53, '质量': 14.18}}"
683,秋水堂,WZ01,"{'功能': {'微针': 0.0}, '服务': {'包装': 14.09, '卖家': 18.01, '客服': 18.46, '态度': 11.47}, '质量': {'质量': 12.89}}"
684,纤伊,2016-851,
685,纤伊,GH635,"{'服务': {'卖家': 15.64}, '款式': {}}"
686,纤伊,TD788,"{'服务': {'卖家': 15.64, '态度': 11.47}}"
687,纤淘,88,"{'功能': {}, '服务': {'态度': 11.47}, '质量': {'质量': 15.37}}"
688,纤淘,QT-668,
689,约克,YK-5S,"{'功能': {'水嫩': 22.28, '洁面': 28.87}, '服务': {'包装': 20.25, '卖家': 22.0, '客服': 18.46, '态度': 18.23, '产品描述': 0.0}, '款式': {'绿色': 0.0, '颜色': 32.4}, '质量': {'做工': 27.34, '刷毛': 50.87, '质量': 22.03}}"
690,约克,YK-L09,"{'功能': {'提拉': 29.57, '水嫩': 22.28, '水润': 0.0, '眼袋': 45.4, '贴合': 0.0, '去黑头': 31.46, '清洁度': 37.51, '黑眼圈': 41.07}, '服务': {'包装': 36.15, '卖家': 59.41, '客服': 35.07, '态度': 45.43}, '款式': {'便携': 50.87, '白色': 37.51, '粉色': 43.86, '面积': 45.4, '颜色': 56.55}, '质量': {'做工': 31.1, '功率': 37.51, '动力': 50.0, '声音': 58.38, '开关': 59.73, '材质': 34.96, '质量': 45.1, '重量': 58.23, '震动力': 28.87, '质量上乘': 0.0}}"
691,约克,YK-L5,"{'功能': {'去黑头': 30.16}, '服务': {}, '质量': {'吸力': 27.08, '瑕疵': 58.23}}"
692,supor/苏泊尔,JP10DA-1300,{'质量': {'声音': 66.01}}
693,约克,YK-L8,"{'服务': {'包装': 16.39, '态度': 13.07}, '款式': {'体积': 45.4}, '质量': {'做工': 22.9, '刷毛': 32.7, '滚珠': 0.0, '质感': 31.53, '质量': 20.35}}"
694,约克,YK-L9-1,"{'功能': {'上妆': 27.53, '保湿': 28.87, '微热': 0.0, '水嫩': 25.69, '祛皱': 30.69, '粉刺': 25.69, '紧致': 23.79, '补水': 37.51, '去黑头': 33.91, '实用性': 42.07, '抬头纹': 43.86, '清洁度': 30.69, '黑眼圈': 41.07}, '服务': {'信誉': 58.23, '包装': 71.21, '包裹': 45.4, '包邮': 0.0, '卖家': 90.98, '实话': 0.0, '客服': 71.59, '态度': 87.55, '换货': 0.0, '语气': 0.0, '邮政': 0.0, '说明书': 64.01, '售后服务': 34.96}, '款式': {'体积': 37.51, '便携': 80.76, '时尚': 58.23, '机身': 46.1, '档位': 56.14, '白色': 74.69, '粉色': 86.43, '红灯': 0.0, '线条': 37.51, '结构': 0.0, '绿光': 0.0, '颜色': 90.61, '充电式': 0.0, '指示灯': 0.0, '粉红色': 83.01, '产品设计': 0.0, '美观大方': 0.0}, '质量': {'做工': 73.82, '力道': 59.73, '功率': 58.23, '动力': 69.31, '吸力': 16.03, '塑料': 0.0, '声音': 71.07, '外壳': 0.0, '开关': 80.76, '手柄': 0.0, '振幅': 0.0, '材质': 29.57, '质感': 31.53, '质量': 81.52, '费电': 0.0, '震动力': 45.4, '生产日期': 0.0}}"
695,约克,YK-V8S,"{'功能': {'滑嫩': 0.0, '眼袋': 69.31, '祛皱': 25.69, '细纹': 41.51, '黑眼圈': 77.95}, '服务': {'包装': 50.6, '包裹': 37.51, '卖家': 45.47, '客服': 35.07, '态度': 63.8, '说明书': 39.99, '注意事项': 0.0}, '款式': {'便携': 74.69, '可调': 0.0, '大气': 33.8, '按键': 45.4, '时尚': 37.51, '机身': 34.48, '白色': 42.07, '红色': 83.01, '颜色': 84.67, '按摩器': 79.16, '按摩棒': 0.0, '方便使用': 0.0}, '质量': {'主机': 0.0, '做工': 41.79, '力道': 69.31, '功率': 31.87, '动力': 86.43, '声音': 58.38, '强度': 53.06, '振幅': 0.0, '材质': 34.96, '质感': 31.53, '质量': 63.72, '配件': 34.48, '重量': 69.31, '震动力': 79.16}}"
696,纳晶,SPE-10,"{'功能': {'上妆': 27.53, '微针': 0.0, '水嫩': 25.69, '痘印': 28.87, '祛皱': 25.69, '通透': 47.96, '光泽度': 37.51, '渗透性': 32.7}, '服务': {'包装': 22.71, '卖家': 26.83, '客服': 41.47, '态度': 29.87, '售后服务': 29.57, '有问必答': 37.51}, '款式': {'成分': 0.0, '按键': 45.4, '机身': 34.48, '面积': 53.06, '颜色': 24.6, '充电式': 0.0, '玫瑰金': 0.0}, '质量': {'做工': 31.1, '创伤': 0.0, '创面': 0.0, '吸力': 13.74, '声音': 58.38, '疗效': 0.0, '质量': 24.3, '针头': 21.77}}"
697,纳晶,SPE108BYT,"{'功能': {'补水': 32.7, '去角质': 0.0}, '服务': {'包装': 16.39}, '质量': {'重量': 58.23, '期望值': 0.0}}"
698,给力宝,EBAO-HTY,"{'功能': {'屏幕': 47.96, '污垢': 38.02, '粉刺': 53.06, '去黑头': 54.88, '清洁度': 86.43, '脂肪粒': 58.65}, '服务': {'包装': 46.55, '卖家': 37.67, '客服': 47.3, '态度': 78.13, '售后服务': 29.57}, '款式': {'可调': 0.0, '吸头': 32.7, '大气': 47.96, '档位': 43.86, '粉色': 30.69, '颜色': 64.22, '三件套': 0.0}, '质量': {'做工': 29.28, '力道': 80.76, '功率': 31.87, '吸力': 60.22, '声音': 56.55, '强度': 45.4, '材质': 34.96, '质量': 52.45, '配件': 63.09, '液晶屏': 0.0}}"
699,诺美姿,207,{'服务': {'态度': 13.07}}
700,美+1,MJ-5801,"{'功能': {'补水': 32.7, '去角质': 0.0, '去黑头': 30.16}, '服务': {'包装': 14.09, '卖家': 12.87, '态度': 11.47}, '质量': {'做工': 27.34, '吸力': 13.74, '质感': 31.53, '质量': 12.89}}"
701,美+1,ST-H309,"{'服务': {'包装': 12.8, '客服': 18.46, '态度': 14.52}, '款式': {'便携': 21.77}, '质量': {'做工': 27.34}}"
702,诺美姿,N2924,
703,美业,RCB-280,"{'功能': {'粉刺': 25.69, '去黑头': 32.71, '脂肪粒': 30.69}, '服务': {'包装': 14.09, '卖家': 23.73, '态度': 14.52}, '款式': {'粉色': 35.3, '三部曲': 0.0}, '质量': {'力道': 50.87, '吸力': 30.55, '声音': 42.43, '强度': 45.4, '质量': 12.89}}"
704,美业,RCB-290S,"{'功能': {'污垢': 28.52, '粉刺': 31.87, '郊果': 0.0, '去黑头': 57.81, '脂肪粒': 69.31}, '服务': {'包装': 48.18, '卖家': 34.43, '客服': 28.8, '态度': 44.48, '素质': 0.0, '说明书': 34.96, '办事效率': 0.0}, '款式': {'体积': 28.87, '便携': 21.77, '吸头': 42.07, '机身': 40.43, '颜色': 27.46, '黄色': 0.0, '三件套': 0.0, '三部曲': 0.0, '小气泡': 40.43}, '质量': {'做工': 32.82, '力道': 50.87, '吸力': 68.72, '声音': 38.67, '材质': 23.62, '质感': 35.56, '质量': 38.63}}"
705,美参谋,HRF-T1101,"{'款式': {'金色': 0.0}, '质量': {'质量': 12.89}}"
706,艾丫美,AYM-003,"{'功能': {'保湿': 28.87, '水嫩': 66.39, '水雾': 53.06, '补水': 64.38, '雾化': 53.06, '效果显著': 0.0, '省时省力': 0.0}, '服务': {'包装': 48.18, '卖家': 32.1, '客服': 24.23, '态度': 51.02}, '款式': {'颜色': 24.6, '美观大方': 0.0}, '质量': {'做工': 37.53, '声音': 64.22, '材质': 34.96, '电源': 0.0, '质量': 66.7, '含水量': 0.0, '节省时间': 0.0}}"
707,艾丫美,AYM-809,"{'功能': {'水嫩': 25.69, '痘印': 37.51, '补水': 32.7, '去黑头': 25.85, '实用性': 50.87, '无副作用': 0.0}, '服务': {'包装': 56.73, '包裹': 53.06, '卖家': 43.59, '客服': 28.8, '态度': 54.29}, '款式': {'红光': 43.86, '颜色': 27.46}, '质量': {'做工': 53.61, '声音': 54.76, '材质': 34.96, '设备': 47.96, '质感': 31.53, '质量': 69.97}}"
708,诺美姿,208,"{'功能': {'痘印': 28.87}, '服务': {'包装': 9.84, '态度': 11.47}, '款式': {}, '质量': {'质量': 12.89}}"
709,诺美姿,DSM-080,"{'功能': {'水嫩': 18.58}, '服务': {'包装': 9.84, '卖家': 18.01, '客服': 18.46, '态度': 24.8, '快递员': 0.0, '说明书': 16.74, '售后服务': 29.57}, '款式': {}, '质量': {'质量': 16.49}}"
710,诺美姿,N509,"{'服务': {'态度': 11.47}, '质量': {'质量': 12.89}}"
711,诺美姿,N-101,"{'功能': {'伤疤': 0.0, '斑点': 47.96}, '服务': {'包装': 31.6, '卖家': 50.97, '发货': 0.0, '客服': 32.71, '态度': 46.84, '说明书': 29.57}, '款式': {'尺寸': 0.0, '按键': 28.87, '电流': 20.64, '面积': 60.87, '颜色': 17.38, '充电式': 0.0}, '质量': {'做工': 36.02, '功率': 37.51, '设备': 37.51, '质感': 31.53, '质量': 47.57, '配件': 51.67, '针头': 50.87, '安全性': 0.0, '期望值': 0.0, '耐受性': 0.0}}"
712,诺美姿,N-1010,"{'功能': {}, '服务': {'包装': 17.44, '卖家': 20.11, '客服': 27.37, '态度': 25.59, '售后服务': 29.57}, '款式': {'白色': 32.7, '蓝光': 40.43, '颜色': 21.31}, '质量': {'做工': 27.34, '光照': 61.77, '功率': 18.58, '吸力': 13.74, '声音': 49.51, '质感': 31.53, '质量': 28.28}}"
713,诺美姿,N2923,"{'功能': {'保湿': 28.87, '水嫩': 22.28, '水雾': 28.87, '补水': 32.7}, '服务': {'卖家': 20.11, '客服': 16.06, '态度': 19.31, '售后服务': 16.74}, '质量': {'做工': 22.9, '动力': 43.86, '声音': 54.76, '材质': 34.96, '质量': 11.48}}"
714,诺美姿,N337,"{'服务': {'包装': 12.8, '卖家': 12.87, '客服': 24.23, '态度': 15.85}, '质量': {'做工': 27.34, '光照': 54.77, '质量': 16.49}}"
